code,employee_name,group,item_code,item_group_name,category,brand,item_name,qty,price,total,i_group
S-01-12-2023-274341,Zahid - 217,B.City,5616,Power & Smart Tech,Power Adapter,Anker,Anker PowerPort III 20W Cube,1,1150,1150.0,Power Tech
S-01-12-2023-274341,Zahid - 217,B.City,912,Apple Accessories,Data Cable,Apple,Apple USB-C to Lightning Cable 1m - Non Authorized (New),1,1000,1000.0,Power Tech
S-01-12-2023-274341,Zahid - 217,B.City,22672,Used Devices,iPhone - Used,Apple,iPhone 11 128GB Green e-Sim Slim Box (Used),1,47500,47500.0,Devices
S-01-12-2023-274340,Arif - 007,B.City,19858,Power & Smart Tech,Power Adapter,Anker,Anker 511 Charger Nano 3 - 30W - White,1,1650,1650.0,Power Tech
S-01-12-2023-274339,Mehedi - 165,B.City,3037,Outfits,Macbook Cover,WiWu,WiWU Keyboard Protector for MacBook - Air 13.3/15.3inch/ Pro 14.2/16.2inch,1,850,850.0,N|A
S-01-12-2023-274339,Mehedi - 165,B.City,2293,Outfits,Macbook Cover,WiWu,WiWU iShield Ultra Thin Hard Shell Case for MacBook Air - 13.3 inch - Black,1,1850,1850.0,N|A
S-01-12-2023-274339,Mehedi - 165,B.City,331,New Devices,MacBook,Apple,Apple MacBook Air 13 M1 8-CPU 7-GPU 8/256GB Space Gray - MGN63 (New),1,100000,100000.0,Devices
S-01-12-2023-274338,Abu Sufian - 183,B.City,264,Power & Smart Tech,Trimmer,Xiaomi,Xiaomi ENCHEN Boost Hair Trimmer - Black,1,1500,1500.0,Smart Tech
S-01-12-2023-274337,Ayan - 119,B.City,23868,New Devices,Xiaomi Mobile,Xiaomi,Xiaomi Redmi 11 Prime 4/64GB IND Playful Green (New),1,13000,13000.0,Devices
S-01-12-2023-274336,Munna - 053,JFP,22201,New Devices,Samsung Mobile,Samsung,Samsung Z Fold5 5G 12/512GB Cream Dual Sim SD (New),1,148000,148000.0,Devices
S-01-12-2023-274336,Munna - 053,JFP,22290,New Devices,Samsung Mobile,Samsung,Samsung Z Fold5 5G 12/512GB Phantom Black Dual Sim SD (New),1,148000,148000.0,Devices
S-01-12-2023-274336,Munna - 053,JFP,22200,New Devices,Samsung Mobile,Samsung,Samsung Z Fold5 5G 12/512GB Icy Blue Dual Sim SD (New),2,148000,296000.0,Devices
S-01-12-2023-274335,Shawon - 031,B.City,20175,Speaker / Headphone,Airpods / Buds / Dots,Qcy,QCY T13 TWS - Black,1,1700,1700.0,Sound Tech
S-01-12-2023-274335,Shawon - 031,B.City,22102,Outfits,iPad Cover,Levelo,Levelo Leather Flip Case for iPad 10.9 / 11 inch - Dark Blue,1,1800,1800.0,N|A
S-01-12-2023-274335,Shawon - 031,B.City,1984,Outfits,iPad Screen Protector,WiWu,WiWu Paperlike Screen Protector for iPad Air 10.9 / Pro 11- inch,1,1000,1000.0,N|A
S-01-12-2023-274335,Shawon - 031,B.City,5036,New Devices,iPad,Apple,iPad Air 5th Gen 64GB WiFi Purple (New),1,70500,70500.0,Devices
S-01-12-2023-274333,Safayet - 163,B.City,23104,Used Devices,Google Mobile - Used,Google,Google Pixel 5A 5G 6/128GB Green (Used),1,22000,22000.0,N|A
S-01-12-2023-274332,Ridwan-319,JFP,22539,Outfits,Phone Screen Protector,WiWu,WiWU iVista Super Hardness Glass For iPhone 13 Pro Max / 14 Plus,1,800,800.0,N|A
S-01-12-2023-274332,Ridwan-319,JFP,227,Speaker / Headphone,Wired Headphone,JBL,JBL TUNE 110 Wired In-Ear Headphone - 3.5mm - Black,1,900,900.0,Sound Tech
S-01-12-2023-274330,Zahid - 217,B.City,20620,Outfits,Phone Cover,Q-Series,Q-Series MagSafe Case with Lens Protector for iPhone 14 Pro - White,1,600,600.0,N|A
S-01-12-2023-274330,Zahid - 217,B.City,21663,Outfits,Phone Screen Protector,WiWu,WiWU iVista Super Hardness Glass For iPhone 14 Pro,1,800,800.0,N|A
S-01-12-2023-274329,Arif - 007,B.City,23837,Outfits,Phone Screen Protector,WiWu,WiWU SQ-005 Easy Install Tempered Glass for iPhone 15 Pro Max - Clear,1,1000,1000.0,N|A
S-01-12-2023-274329,Arif - 007,B.City,23835,Outfits,Phone Screen Protector,WiWu,WiWU SQ-005 Easy Install Tempered Glass for iPhone 15 - Clear,1,1000,1000.0,N|A
S-01-12-2023-274329,Arif - 007,B.City,23350,New Devices,iPhone,Apple,iPhone 15 128GB Green e-Sim (New),1,115000,115000.0,Devices
S-01-12-2023-274329,Arif - 007,B.City,23876,New Devices,iPhone,Apple,iPhone 15 Plus 128GB Black e-Sim (New),1,130000,130000.0,Devices
S-01-12-2023-274327,Abu Sufian - 183,B.City,1972,Speaker / Headphone,Audio Converter,Samsung,Samsung USB-C to 3.5mm Headphone Jack Adapter (New) - White,1,1500,1500.0,Smart Tech
S-01-12-2023-274327,Abu Sufian - 183,B.City,7279,Power & Smart Tech,Power Adapter,Samsung,Samsung 45W USB C Wall Charger With Type C Cable 3pin - 5A/1.8M - Black,1,3900,3900.0,Power Tech
S-01-12-2023-274327,Abu Sufian - 183,B.City,20530,New Devices,Samsung Mobile,Samsung,Samsung S23 Ultra 5G 8/256GB Green Dual Sim SD (New),1,101000,101000.0,Devices
S-01-12-2023-274325,Shimul-320,JFP,21696,Outfits,Phone Screen Protector,Mohave,Mohave Premium Privacy Screen Protector film with Installation Box for Galaxy S22 Ultra/ S23 Ultra,1,1600,1600.0,N|A
S-01-12-2023-274325,Shimul-320,JFP,2573,Outfits,Polly / Sticker,,Clear Polly (7''),4,225,900.0,N|A
S-01-12-2023-274324,Matin - 209,JFP,21263,New Devices,Samsung Mobile,Samsung,Samsung A34 5G 8/128GB Awesome Graphite Dual Sim (New),1,29500,29500.0,Devices
S-01-12-2023-274323,Omar - 316,S.Shomvar,23468,Apple Accessories,Smart Watch,Apple,Apple Watch Series 9 41mm Midnight (New),1,51000,51000.0,Smart Watch
S-01-12-2023-274322,Mehedi - 165,B.City,21166,New Devices,Samsung Mobile,Samsung,Samsung A54 5G 8/256GB Awesome Lime (New),1,40500,40500.0,Devices
S-01-12-2023-274321,Arif - 007,B.City,21696,Outfits,Phone Screen Protector,Mohave,Mohave Premium Privacy Screen Protector film with Installation Box for Galaxy S22 Ultra/ S23 Ultra,1,1600,1600.0,N|A
S-01-12-2023-274320,Shawon - 031,B.City,2597,Power & Smart Tech,Casting Device,Amazon,Amazon Fire TV Stick 4K,1,5000,5000.0,Smart Tech
S-01-12-2023-274319,Shawon - 031,B.City,21696,Outfits,Phone Screen Protector,Mohave,Mohave Premium Privacy Screen Protector film with Installation Box for Galaxy S22 Ultra/ S23 Ultra,1,1600,1600.0,N|A
S-01-12-2023-274316,Juel - 317,M.Plaza,956,Outfits,TAB Screen Protector,,N.G Glass Protector for Tab S6 Lite,1,500,500.0,N|A
S-01-12-2023-274316,Juel - 317,M.Plaza,19935,New Devices,Samsung Tab,Samsung,Samsung TAB S6 Lite 2022 4/64GB WiFi Oxford Gray (New) - SM-P613,1,34000,34000.0,Devices
S-01-12-2023-274315,Rocon - 182,Rupayan L.Tower,22808,Outfits,Phone Cover,Momax,Momax CaseForm PLAY Magnetic Case for iPhone 15 Pro Max - Transparent,1,1500,1500.0,N|A
S-01-12-2023-274314,Matin - 209,JFP,6524,Power & Smart Tech,Power Bank,Anker,Anker MagGo 633 Magnetic Battery 10000mAh - Black,1,5000,5000.0,Power Tech
S-01-12-2023-274312,Jubayer-313,JFP,22835,New Devices,Laptop,HP,Hp Victus fa1093dx 15.6 Intel i5-13420H NVIDIA RTX 3050 8/512GB SSD - Blue (New),1,102500,102500.0,N|A
S-01-12-2023-274310,Mehedi - 165,B.City,1393,Power & Smart Tech,Power Adapter,Samsung,Samsung 25W USB C Wall Charger 3Pin - Black,1,2000,2000.0,Power Tech
S-01-12-2023-274308,Shimul-320,JFP,22451,New Devices,Realme Mobile,Realme,Realme Narzo 60 5G 8/128GB Cosmic Black (New),1,23300,23300.0,Devices
S-01-12-2023-274306,Ridwan-319,JFP,45,Speaker / Headphone,Wired Headphone,Plextone,Plextone G30 Dual Mode Gaming Headset - 3.5mm - Black,1,1350,1350.0,Sound Tech
S-01-12-2023-274305,Ayan - 119,B.City,21738,Outfits,Phone Cover,Xundd,Xundd Bumper Case for Galaxy A54,1,600,600.0,N|A
S-01-12-2023-274305,Ayan - 119,B.City,1393,Power & Smart Tech,Power Adapter,Samsung,Samsung 25W USB C Wall Charger 3Pin - Black,1,2000,2000.0,Power Tech
S-01-12-2023-274305,Ayan - 119,B.City,20687,New Devices,Samsung Mobile,Samsung,Samsung A54 5G 8/128GB Awesome Graphite (New),1,36000,36000.0,Devices
S-01-12-2023-274304,Ridwan-319,JFP,23024,Outfits,Phone Cover,Momax,Momax CaseForm PLAY Magnetic Case for iPhone 15 Pro - Black,1,1500,1500.0,N|A
S-01-12-2023-274304,Ridwan-319,JFP,23836,Outfits,Phone Screen Protector,WiWu,WiWU SQ-005 Easy Install Tempered Glass for iPhone 15 Pro - Clear,1,1000,1000.0,N|A
S-01-12-2023-274304,Ridwan-319,JFP,23345,Outfits,Phone Camera Protector,Anank,Anank AR Circle Lens Guard for iPhone 15 Pro/15 Pro Max - Blue,1,850,850.0,N|A
S-01-12-2023-274304,Ridwan-319,JFP,2573,Outfits,Polly / Sticker,,Clear Polly (7''),2,250,500.0,N|A
S-01-12-2023-274303,Ismail - 250,M.Plaza,23478,Outfits,Phone Screen Protector,kuzoom,Kuzoom 3D Curved Full Screen Glass Film for Galaxy S23 Ultra - Black,1,1200,1200.0,N|A
S-01-12-2023-274303,Ismail - 250,M.Plaza,19763,Outfits,Phone Cover,Samsung,Samsung Galaxy S23 Ultra Smart View Wallet Case - Black,1,4400,4400.0,N|A
S-01-12-2023-274302,Abu Sufian - 183,B.City,22199,New Devices,Samsung Mobile,Samsung,Samsung A24 8/128GB Green (New),1,24000,24000.0,Devices
S-01-12-2023-274301,Safayet - 163,B.City,317,Apple Accessories,Data Cable,Apple,Apple Lightning to USB Cable 1m - Non Authorized (New),1,1300,1300.0,Power Tech
S-01-12-2023-274298,Zahid - 217,B.City,23315,Outfits,Phone Cover,Raigor,Raigor Inverse Clear Cover for Galaxy Z Flip 5 - Silver,1,1500,1500.0,N|A
S-01-12-2023-274298,Zahid - 217,B.City,22640,New Devices,Samsung Mobile,Samsung,Samsung Z Flip5 5G 8/256GB Lavender Single Sim SD (New),1,80000,80000.0,Devices
S-01-12-2023-274297,Shawon - 031,B.City,23346,Outfits,Phone Camera Protector,Anank,Anank AR Circle Lens Guard for iPhone 15 Pro/15 Pro Max - Black,1,850,850.0,N|A
S-01-12-2023-274297,Shawon - 031,B.City,23339,Outfits,Phone Screen Protector,Anank,Anank 2.5D Privacy Glass Screen Protector for iPhone 15,1,1100,1100.0,N|A
S-01-12-2023-274297,Shawon - 031,B.City,23160,Outfits,Phone Cover,Anker,Anker Frosted Magnetic Phone Case for iPhone 15 Pro - Black,1,1600,1600.0,N|A
